product_id,product_code,product_name,product_type,product_default_cost,product_avg_cost,product_unit
0,111,쌀,FALL,2416,2430.0,kg
1,112,찹쌀,FALL,2810,2825.0,kg
2,141,콩,ALL,4776,4855.0,kg
3,142,팥,FALL,8075,8246.0,kg
4,143,녹두,FALL,10010,9933.0,kg
5,144,메밀,FALL,3463,3519.0,kg
6,151,고구마,FALL,3277,3352.0,kg
7,152,감자,SUMMER,1950,1916.0,kg
8,211,배추,FALL,787,947.0,kg
9,212,양배추,SPRING,865,954.0,kg
10,213,시금치,WINTER,2500,4643.0,kg
11,214,상추,SPRING,3032,5318.0,kg
12,215,얼갈이배추,FALL,1700,1705.0,kg
13,221,수박,SUMMER,18269,16309.0,개
14,222,참외,SUMMER,7202,2686.0,kg
15,223,오이,SPRING,1370,1255.0,개
16,224,호박,ALL,1595,1407.0,kg
17,225,토마토,SUMMER,3317,2986.0,kg
18,226,딸기,WINTER,7745,5158.0,kg
19,231,무,FALL,531,672.0,kg
20,232,당근,WINTER,1474,1674.0,kg
21,233,열무,SUMMER,2138,1955.0,kg
22,241,건고추,ALL,20806,21251.0,kg
23,242,풋고추,ALL,6556,5781.0,kg
24,243,붉은고추,ALL,12501,7645.0,kg
25,244,피마늘,ALL,6200,5771.0,kg
26,245,양파,SUMMER,1086,955.0,kg
27,246,파,ALL,2635,3447.0,kg
28,247,생강,FALL,6912,7100.0,kg
29,252,미나리,SPRING,4882,5192.0,kg
30,253,깻잎,SUMMER,9343,11586.0,kg
31,255,피망,SPRING,4945,4337.0,kg
32,256,파프리카,FALL,5894,5100.0,kg
33,257,멜론,SUMMER,4377,3666.0,kg
34,258,깐마늘(국산),ALL,6442,6397.0,kg
35,279,알배기배추,FALL,0,1480.0,kg
36,280,브로콜리,SUMMER,0,2010.0,kg
37,312,참깨,FALL,12889,13000.0,kg
38,313,들깨,FALL,9542,9764.0,kg
39,314,땅콩,FALL,11551,12295.0,kg
40,315,느타리버섯,FALL,4082,4464.0,kg
41,316,팽이버섯,WINTER,2144,2252.0,kg
42,317,새송이버섯,FALL,3585,3693.0,kg
43,411,사과,FALL,4105,4621.0,kg
44,412,배,FALL,3272,3382.0,kg
45,413,복숭아,SUMMER,0,1232.0,kg
46,414,포도,SUMMER,4980,6269.0,kg
47,415,감귤,WINTER,5321,4175.0,kg
48,416,단감,WINTER,2446,1588.0,kg
49,418,바나나,ALL,2083,1981.0,kg
50,419,참다래,ALL,3660,3988.0,kg
51,420,파인애플,SPRING,2018,2187.0,kg
52,421,오렌지,ALL,3207,3137.0,kg
53,422,방울토마토,SUMMER,5210,4739.0,kg
54,424,레몬,WINTER,3548,3760.0,kg
55,425,체리,SUMMER,9018,9256.0,kg
56,428,망고,ALL,7928,9213.0,kg
